indicator_key,var_id,indikator,unit,subject,source_domain,kode_wilayah,nama_wilayah,turvar_id,turvar_label,th_id,tahun,turth_id,turth_label,nilai,data_key,last_update
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7373,Kota Palopo,0,Tidak ada,121,2021,0,Tahun,10.94,737341501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7400,SULAWESI TENGGARA,0,Tidak ada,121,2021,0,Tahun,9.13,740041501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7401,Buton,0,Tidak ada,121,2021,0,Tahun,7.92,740141501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7402,Muna,0,Tidak ada,121,2021,0,Tahun,8.46,740241501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7403,Konawe,0,Tidak ada,121,2021,0,Tahun,9.21,740341501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7404,Kolaka,0,Tidak ada,121,2021,0,Tahun,8.99,740441501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7405,Konawe Selatan,0,Tidak ada,121,2021,0,Tahun,8.11,740541501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7406,Bombana,0,Tidak ada,121,2021,0,Tahun,8.04,740641501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7407,Wakatobi,0,Tidak ada,121,2021,0,Tahun,8.16,740741501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7408,Kolaka Utara,0,Tidak ada,121,2021,0,Tahun,8.22,740841501210,2025-11-05 12:00:46
